Czas[s]	Prad[A]	SilaZ[N]	Przyspieszenie[m/s^2]	Predkosc[m/s]	Polozenie[mm]
0.0	0.0	0	0.0	0.0	0
0.0005	244.7537791252674	120.6412160175752	603.206080087876	0.301603040043938	0.0
0.001	460.9170595890869	435.6175174308745	2178.087587154372	1.3906468336211242	0.150801520021969
0.0015	628.085543004805	861.2072304804587	4306.036152402294	3.5436649098222714	0.8461249368325311
0.002	731.0120455147063	1367.747111061345	6838.7355553067255	6.963032687475634	2.617957391743667
0.0025	760.9835396005712	1932.999303571505	9664.996517857524	11.795530946404396	6.099473735481483
0.003	716.5370371847725	2469.657556018048	12348.28778009024	17.969674836449517	11.99723920868368
0.0035	603.457956603269	2462.888033772061	12314.440168860305	24.12689492087967	20.982076626908437
0.004	434.07533964493985	1472.554526423343	7362.772632116715	27.80828123693803	33.04552408734827
0.0045000000000000005	225.93621435043832	290.7748632585716	1453.8743162928579	28.53521839508446	46.949664705817284
0.005	8.864849981971948e-14	2.020929314594964e-29	1.0104646572974819e-28	28.53521839508446	61.21727390335951
0.0055	-221.4623775582504	29.46950421970912	147.3475210985456	28.608892155633733	75.48488310090174
0.006	-417.0550021273161	-202.1646728260519	-1010.8233641302595	28.103480473568602	89.7893291787186
0.006500000000000001	-568.3153010381817	-1099.112064758612	-5495.560323793059	25.355700311672074	103.8410694155029
0.007	-661.4470518167122	-2855.617820505333	-14278.089102526665	18.21665576040874	116.51891957133894
0.0075	-688.5663811400462	-3702.682332950236	-18513.411664751176	8.959949928033152	125.62724745154331
0.008	-648.349522653406	-3270.646464719162	-16353.232323595808	0.7833337662352484	130.10722241555987
0.0085	-546.0313393461578	-2323.931007596134	-11619.655037980669	-5.026493752755086	130.4988892986775
0.009000000000000001	-392.7676095574091	-1205.543136668574	-6027.71568334287	-8.040351594426522	127.98564242229997
0.0095	-204.43554083367007	-321.7393769844071	-1608.6968849220355	-8.84470003688754	123.96546662508672
0.01	-1.604249593792724e-13	-1.825831100970248e-28	-9.12915550485124e-28	-8.84470003688754	119.54311660664295
0.0105	200.38744590191263	-246.5116010851465	-1232.5580054257325	-9.460979039600407	115.12076658819919
0.011	377.36697130386204	-723.5860369293957	-3617.9301846469784	-11.269944131923896	110.39027706839899
0.0115	514.2329496217171	-975.1297353445707	-4875.648676722853	-13.707768470285323	104.75530500243704
0.012	598.5020425333316	-882.5642423126128	-4412.821211563064	-15.914179076066855	97.90142076729438
0.0125	623.040626457124	-452.3339072288159	-2261.6695361440793	-17.045013844138893	89.94433122926095
0.013000000000000001	586.6509080625544	-36.09716237604062	-180.4858118802031	-17.135256750078995	81.42182430719151
0.0135	494.0695872606947	240.0822652298581	1200.4113261492905	-16.535051087004348	72.85419593215201
0.014	355.3908297200824	262.511778283344	1312.5588914167197	-15.878771641295987	64.58667038864984
0.0145	184.98092692272309	115.763190729496	578.81595364748	-15.589363664472247	56.647284568001844
0.015	2.177377590498968e-13	2.436701122636991e-28	1.2183505613184955e-27	-15.589363664472247	48.85260273576572
0.0155	-181.3180591567066	233.2102539373184	1166.051269686592	-15.006338029628951	41.0579209035296
0.016	-341.4557559666365	908.8576109989468	4544.288054994734	-12.734194002131584	33.554751888715124
0.0165	-465.29721440473077	1641.436843350057	8207.184216750284	-8.630601893756442	27.18765488764933
0.017	-541.5470428551079	2063.326550478902	10316.63275239451	-3.472285517559187	22.87235394077111
0.0175	-563.7504717749707	2160.432235737173	10802.161178685865	1.9287950717837452	21.136211181991516
0.018000000000000002	-530.823692939773	1972.484489973071	9862.422449865355	6.860006296716422	22.10060871788339
0.0185	-447.0526496670592	1495.603003328132	7478.015016640659	10.599013805036751	25.5306118662416
0.019	-321.57092075757686	809.9158151836929	4049.5790759184642	12.623803342995984	30.830118768759974
0.0195	-167.37766430265535	209.5333498521705	1047.6667492608524	13.14763671762641	37.142020440257966
0.02	-2.6268969561019267e-13	4.431046554691427e-28	2.2155232773457134e-27	13.14763671762641	43.71583879907117
