BC_radius_mm,Inductance_uH,Force_mm
80,(1.963868533003485-0.08971602401957467j),0
100,(1.963868533003485-0.08971602401957467j),0
120,(1.963868533003485-0.08971602401957467j),0
140,(1.963868533003485-0.08971602401957467j),0
160,(1.963868533003485-0.08971602401957467j),0
180,(1.963868533003485-0.08971602401957467j),0
200,(1.963868533003485-0.08971602401957467j),0
