H0_mm,Inductance_uH,Force_N
0.0,(1.9381397774950018-0.08855382369028982j),-0.00445410808217429
6.666666666666667,(1.9286397438831258-0.08799648255248868j),-0.002247612599826477
13.333333333333334,(1.9266099343116143-0.08202662413905444j),0.0005878488036696197
20.0,(1.9302181183591658-0.08351468455667502j),0.00178610397346915
26.666666666666668,(1.9352761559877243-0.08406562293286834j),0.002349675219619439
33.333333333333336,(1.9412761630450779-0.08735588224806713j),0.002613306112282946
40.0,(1.9478366454216356-0.08784751305648529j),0.002683150006542158
46.66666666666667,(1.9545587789705732-0.08824877346204443j),0.002599037565841322
53.333333333333336,(1.960444618139093-0.08851772523009274j),0.002486418936702711
60.0,(1.965877325900772-0.08872513233425204j),0.002180046287578843
