H_el_mm,F_em_N,F_gravity_N
5.0,0.001239486987306923,0.023403196298146738
8.88888888888889,0.00162936255178411,0.04160568230781644
12.777777777777779,0.002004711585819663,0.059808168317486116
16.666666666666664,0.002353754516701265,0.07801065432715579
20.555555555555557,0.002729574938422356,0.09621314033682549
24.444444444444443,0.003029176236191793,0.11441562634649517
28.333333333333332,0.003395934665676987,0.13261811235616486
32.22222222222222,0.003702665572553904,0.15082059836583456
36.111111111111114,0.003985306184294912,0.16902308437550423
40.0,0.004152147958489098,0.1872255703851739
